Experiment Number,compress,sourceDatabasetoTargetDatabase,tables,maxStreams,binary,Experiment startTime,logTime,logType,logLocation,logDescription
2,GZIP,testdb_testdb,GIGANTICORDERS,5,True,1725070329.3474507,03:37:10.165,DEBUG,<944:MainThread> single_machine_validator.py:128,Source and target are located on different machines
2,GZIP,testdb_testdb,GIGANTICORDERS,5,True,1725070329.3474507,03:37:14.771,TRACE,<944:MainThread> logger.py:81,"Removed test table: ""dfad90756bf5401483597421686283c9"" on host: 206.12.91.107"
2,GZIP,testdb_testdb,GIGANTICORDERS,5,True,1725070329.3474507,03:37:14.772,DEBUG,<944:MainThread> migration_runner.py:244,Verifying db2 version on source...
2,GZIP,testdb_testdb,GIGANTICORDERS,5,True,1725070329.3474507,03:37:26.369,INFO,<944:MainThread> migration_runner.py:247,db2 version on source: 11.5.9.0
2,GZIP,testdb_testdb,GIGANTICORDERS,5,True,1725070329.3474507,03:37:26.370,DEBUG,<944:MainThread> migration_runner.py:258,Verifying db2 version on target...
2,GZIP,testdb_testdb,GIGANTICORDERS,5,True,1725070329.3474507,03:37:31.167,INFO,<944:MainThread> migration_runner.py:261,db2 version on target: 11.5.9.0
2,GZIP,testdb_testdb,GIGANTICORDERS,5,True,1725070329.3474507,03:37:31.171,INFO,<944:MainThread> db_handler.py:1028,"Getting {('DB2INST1', 'GIGANTICORDERS')} sizes from the database."
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,,,,^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,,,,IBM db_migr -- log (2024-08-31 03:51:14.166936)
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,,,,Version - 1.0.0 (404b0de)
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,,,,^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:14.170,TRACE,<940:MainThread> logger.py:81,Migration parameters
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,,,,Temporary directory:             /tmp/db_migr/db_migr-20240831_035113.867751
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,,,,Maximum # of insertion workers:  5
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,,,,"Information format:              [USER, PASSW, DBNAME, PORT, SCHEMA]"
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,,,,Source information:              db2inst1 ***** testdb 50000
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,,,,Target information:              db2inst1 ***** testdb 50000
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,,,,Source hosts:                    ['206.12.99.99']
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,,,,Target hosts:                    ['206.12.91.107']
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,,,,Number of tables to transfer:    3
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,,,,
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:14.170,INFO,<940:MainThread> logger.py:213,Executed Command: /usr/bin/migration_client db2_db2 --shosts 206.12.99.99 --sport 50000 --suser db2inst1 --spass ***** --sdb testdb --thost 206.12.91.107 --tport 50000 --tuser db2inst1 --tpass ***** --tdb testdb --compress GZIP --max-data-streams 5 --binary True --verbose --mv LINEITEM1 LINEITEM1 --mv ORDERS2 ORDERS2 --mv ORDERS10 ORDERS10
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:14.265,INFO,<940:MainThread> query_executor.py:93,Db2 driver has not been provided by user. Searching in default locations.
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:14.566,INFO,<940:MainThread> query_executor.py:97,Using db2 driver libdb2.so from system loadable library path
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:14.567,INFO,<940:MainThread> query_executor.py:93,Db2 driver has not been provided by user. Searching in default locations.
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:14.568,INFO,<940:MainThread> query_executor.py:97,Using db2 driver libdb2.so from system loadable library path
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:14.573,INFO,<940:MainThread> prechecks.py:901,Precheck dependencies validated succesfully
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:14.665,INFO,<940:ThreadPoolExecutor-0_0> prechecks.py:787,Running precheck: PRE: check source port ssl
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:14.666,INFO,<940:ThreadPoolExecutor-0_1> prechecks.py:787,Running precheck: PRE: check target port ssl
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:14.667,INFO,<940:ThreadPoolExecutor-0_0> prechecks.py:742,Precheck 'check source port ssl' in stage PRE:  SKIPPED as N/A: No ssl specified in source connection specification
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:14.668,INFO,<940:ThreadPoolExecutor-0_2> prechecks.py:787,Running precheck: PRE: check if maintenance mode can be enabled
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:14.669,INFO,<940:ThreadPoolExecutor-0_1> prechecks.py:742,Precheck 'check target port ssl' in stage PRE:  SKIPPED as N/A: No ssl specified in target connection specification
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:14.671,DEBUG,<940:ThreadPoolExecutor-0_0> prechecks.py:827,Precheck check source port ssl took 0:00:00.006424
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:14.672,INFO,<940:ThreadPoolExecutor-0_2> prechecks.py:742,Precheck 'check if maintenance mode can be enabled' in stage PRE:  SKIPPED as N/A: no --maint-mode parameter passed
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:14.765,DEBUG,<940:ThreadPoolExecutor-0_1> prechecks.py:827,Precheck check target port ssl took 0:00:00.098621
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:14.766,INFO,<940:ThreadPoolExecutor-0_3> prechecks.py:787,Running precheck: PRE: check source port ssl cert
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:14.767,DEBUG,<940:ThreadPoolExecutor-0_2> prechecks.py:827,Precheck check if maintenance mode can be enabled took 0:00:00.099208
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:14.865,INFO,<940:ThreadPoolExecutor-0_0> prechecks.py:787,Running precheck: PRE: check target port ssl cert
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:14.867,INFO,<940:ThreadPoolExecutor-0_3> prechecks.py:742,Precheck 'check source port ssl cert' in stage PRE:  SKIPPED as N/A: No ssl specified in source connection specification
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:14.868,INFO,<940:ThreadPoolExecutor-0_0> prechecks.py:742,Precheck 'check target port ssl cert' in stage PRE:  SKIPPED as N/A: No ssl specified in target connection specification
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:14.869,DEBUG,<940:ThreadPoolExecutor-0_3> prechecks.py:827,Precheck check source port ssl cert took 0:00:00.102256
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:14.871,INFO,<940:ThreadPoolExecutor-0_1> prechecks.py:787,Running precheck: PRE: check source database connection
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:14.870,DEBUG,<940:ThreadPoolExecutor-0_0> prechecks.py:827,Precheck check target port ssl cert took 0:00:00.005138
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:14.971,INFO,<940:ThreadPoolExecutor-0_6> prechecks.py:787,Running precheck: PRE: check target database connection
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:24.366,INFO,<940:ThreadPoolExecutor-0_6> prechecks.py:742,Precheck 'check target database connection' in stage PRE:  PASSED
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:24.368,DEBUG,<940:ThreadPoolExecutor-0_6> prechecks.py:827,Precheck check target database connection took 0:00:09.396646
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:24.371,INFO,<940:ThreadPoolExecutor-0_7> prechecks.py:787,Running precheck: PRE: check target DBMS version
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:24.465,INFO,<940:ThreadPoolExecutor-0_8> prechecks.py:787,Running precheck: PRE: check external tables on target
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:24.564,INFO,<940:ThreadPoolExecutor-0_5> prechecks.py:787,Running precheck: PRE: check target driver version
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:24.667,INFO,<940:ThreadPoolExecutor-0_10> prechecks.py:787,Running precheck: PRE: check tablespace
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:24.669,INFO,<940:ThreadPoolExecutor-0_11> prechecks.py:787,Running precheck: PRE: check target tenant
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:24.866,INFO,<940:ThreadPoolExecutor-0_10> prechecks.py:742,Precheck 'check tablespace' in stage PRE:  PASSED
