Experiment Number,compress,sourceDatabasetoTargetDatabase,tables,maxStreams,binary,Experiment startTime,TotalExperimentTime,TotaltransferTime,totalPrecheckTime,TotalClearTime
1,NO,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,False,1726018643.9289718,573.1196200847626,476.1033818721771,106.197221,4.9036314487457275
2,NO,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,False,1726018643.9289718,440.5685443878174,364.396365404129,126.79196099999999,2.0882105827331543
3,NO,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,False,1726018643.9289718,453.4592423439026,357.5011794567108,134.910149,6.201477766036987
4,NO,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,False,1726018643.9289718,770.0334405899048,668.6062099933624,154.916196,4.099196910858154
5,NO,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,False,1726018643.9289718,693.8180253505707,600.2022552490234,152.094943,3.001605987548828
1,NO,testdb_testdb,GIGANTICORDERS,5,False,1726028608.17275,1516.687345981598,1427.7000172138214,140.500541,2.9022719860076904
2,NO,testdb_testdb,GIGANTICORDERS,5,False,1726028608.17275,578.298761844635,477.7055675983429,124.40381299999999,3.5035505294799805
3,NO,testdb_testdb,GIGANTICORDERS,5,False,1726028608.17275,575.3380129337311,477.8003628253937,145.996349,3.284142255783081
4,NO,testdb_testdb,GIGANTICORDERS,5,False,1726028608.17275,557.9225702285767,453.7016863822937,163.903804,4.188338756561279
5,NO,testdb_testdb,GIGANTICORDERS,5,False,1726028608.17275,547.062043428421,451.99946689605713,144.381613,4.8018798828125
1,NO,testdb_testdb,ORDERSWIDE2,5,False,1726035383.4830253,1308.8096725940704,1210.2062714099884,146.292963,5.897996664047241
2,NO,testdb_testdb,ORDERSWIDE2,5,False,1726035383.4830253,741.2617528438568,646.2983818054199,141.301868,4.110958099365234
3,NO,testdb_testdb,ORDERSWIDE2,5,False,1726035383.4830253,497.4860188961029,400.6020812988281,113.51010699999999,2.756673812866211
4,NO,testdb_testdb,ORDERSWIDE2,5,False,1726035383.4830253,499.0431959629059,402.7036542892456,143.078031,5.499337911605835
5,NO,testdb_testdb,ORDERSWIDE2,5,False,1726035383.4830253,541.9652810096741,470.30318903923035,134.480321,2.0364272594451904
