Experiment Number,compress,sourceDatabasetoTargetDatabase,tables,maxStreams,binary,attempt_number,Experiment startTime,TotalExperimentTime,TotaltransferTime,totalPrecheckTime,TotalClearTime,ExperimentStatus
1,GZIP,testdb_testdb,LINEITEM1_LINEITEM1COPY1_LINEITEM1COPY2_LINEITEM1COPY3_LINEITEM1COPY4_LINEITEM1COPY5_ORDERS10_ORDERS10COPY_ORDERS10COPY2_ORDERS10COPY3,5,False,1,1739268350.4281445,7992.97375535965,6548.832847094535,0.0,4.758318901062012,True
2,GZIP,testdb_testdb,LINEITEM1_LINEITEM1COPY1_LINEITEM1COPY2_LINEITEM1COPY3_LINEITEM1COPY4_LINEITEM1COPY5_ORDERS10_ORDERS10COPY_ORDERS10COPY2_ORDERS10COPY3,5,False,1,1739268350.4281445,10.61056137084961,0,0,2.384185791015625e-07,False
3,GZIP,testdb_testdb,LINEITEM1_LINEITEM1COPY1_LINEITEM1COPY2_LINEITEM1COPY3_LINEITEM1COPY4_LINEITEM1COPY5_ORDERS10_ORDERS10COPY_ORDERS10COPY2_ORDERS10COPY3,5,False,1,1739268350.4281445,6.740225553512573,0,0,2.384185791015625e-07,False
4,GZIP,testdb_testdb,LINEITEM1_LINEITEM1COPY1_LINEITEM1COPY2_LINEITEM1COPY3_LINEITEM1COPY4_LINEITEM1COPY5_ORDERS10_ORDERS10COPY_ORDERS10COPY2_ORDERS10COPY3,5,False,1,1739268350.4281445,6.3338212966918945,0,0,2.384185791015625e-07,False
2,GZIP,testdb_testdb,LINEITEM1_LINEITEM1COPY1_LINEITEM1COPY2_LINEITEM1COPY3_LINEITEM1COPY4_LINEITEM1COPY5_ORDERS10_ORDERS10COPY_ORDERS10COPY2_ORDERS10COPY3,5,False,2,1739268350.4281445,6.916150331497192,0,0,2.384185791015625e-07,False
3,GZIP,testdb_testdb,LINEITEM1_LINEITEM1COPY1_LINEITEM1COPY2_LINEITEM1COPY3_LINEITEM1COPY4_LINEITEM1COPY5_ORDERS10_ORDERS10COPY_ORDERS10COPY2_ORDERS10COPY3,5,False,2,1739268350.4281445,8.814680576324463,0,0,4.76837158203125e-07,False
4,GZIP,testdb_testdb,LINEITEM1_LINEITEM1COPY1_LINEITEM1COPY2_LINEITEM1COPY3_LINEITEM1COPY4_LINEITEM1COPY5_ORDERS10_ORDERS10COPY_ORDERS10COPY2_ORDERS10COPY3,5,False,2,1739268350.4281445,5.566216230392456,0,0,2.384185791015625e-07,False
2,GZIP,testdb_testdb,LINEITEM1_LINEITEM1COPY1_LINEITEM1COPY2_LINEITEM1COPY3_LINEITEM1COPY4_LINEITEM1COPY5_ORDERS10_ORDERS10COPY_ORDERS10COPY2_ORDERS10COPY3,5,False,3,1739268350.4281445,9166.926519870758,7309.975799322129,0.0,5.300454378128052,True
3,GZIP,testdb_testdb,LINEITEM1_LINEITEM1COPY1_LINEITEM1COPY2_LINEITEM1COPY3_LINEITEM1COPY4_LINEITEM1COPY5_ORDERS10_ORDERS10COPY_ORDERS10COPY2_ORDERS10COPY3,5,False,3,1739268350.4281445,11653.985997915268,9746.178816199303,0.0,5.75375509262085,True
4,GZIP,testdb_testdb,LINEITEM1_LINEITEM1COPY1_LINEITEM1COPY2_LINEITEM1COPY3_LINEITEM1COPY4_LINEITEM1COPY5_ORDERS10_ORDERS10COPY_ORDERS10COPY2_ORDERS10COPY3,5,False,3,1739268350.4281445,4.652847528457642,0,0,7.152557373046875e-07,False
