Experiment Number,file,limit,compressionType,stream,Experiment startTime,TotalBackupTime,TotaltransferTime,TotalMigrationTime,TotalValidationTime,TotalClearTime,sizeOnTargetMachine,sizeOnLocalMachine,compressionTime,dataTransferTime,readingFileTime,sumsizeOnTargetMachine,maxsizeOnTargetMachine,avgsizeOnTargetMachine,sumsizeOnLocalMachine,maxsizeOnLocalMachine,avgsizeOnLocalMachine,sumcompressionTime,maxcompressionTime,avgcompressionTime,sumdataTransferTime,maxdataTransferTime,avgdataTransferTime,sumreadingFileTime,maxreadingFileTime,avgreadingFileTime
1,exported_ORDERS1.sql,104857600,None,3,1711135902.1539989,0,55.83581495285034,0,0,9.5367431640625e-07,0,0,0,0,0,1914252494.0,638084165.0,638084164.6666666,1914252494.0,638084165.0,638084164.6666666,0.0,0.0,0.0,57.44049334526062,31.038121938705444,19.146831115086872,0.2279832363128662,0.08242177963256836,0.07599441210428874
2,exported_ORDERS1.sql,104857600,None,3,1711135902.1539989,0,38.009833574295044,0,0,0.0,0,0,0,0,0,1914252494.0,638084165.0,638084164.6666666,1914252494.0,638084165.0,638084164.6666666,0.0,0.0,0.0,59.33338904380798,20.132411003112793,19.777796347935993,0.2272648811340332,0.08297324180603027,0.07575496037801106
3,exported_ORDERS1.sql,104857600,None,3,1711135902.1539989,0,46.47795128822327,0,0,2.384185791015625e-07,0,0,0,0,0,1914252494.0,638084165.0,638084164.6666666,1914252494.0,638084165.0,638084164.6666666,0.0,0.0,0.0,58.88351488113403,25.07622528076172,19.627838293711346,0.22794032096862793,0.0797581672668457,0.07598010698954265
4,exported_ORDERS1.sql,104857600,None,3,1711135902.1539989,0,34.609500885009766,0,0,0.0,0,0,0,0,0,1914252494.0,638084165.0,638084164.6666666,1914252494.0,638084165.0,638084164.6666666,0.0,0.0,0.0,59.544106245040894,20.857521533966064,19.84803541501363,0.22758007049560547,0.08715343475341797,0.07586002349853516
5,exported_ORDERS1.sql,104857600,None,3,1711135902.1539989,0,34.00843572616577,0,0,2.384185791015625e-07,0,0,0,0,0,1914252494.0,638084165.0,638084164.6666666,1914252494.0,638084165.0,638084164.6666666,0.0,0.0,0.0,55.75620484352112,18.98227548599243,18.585401614507038,0.21976852416992188,0.07612252235412598,0.0732561747233073
6,exported_ORDERS1.sql,104857600,None,3,1711135902.1539989,0,32.25500798225403,0,0,4.76837158203125e-07,0,0,0,0,0,1914252494.0,638084165.0,638084164.6666666,1914252494.0,638084165.0,638084164.6666666,0.0,0.0,0.0,57.00631308555603,19.14660096168518,19.00210436185201,0.21995258331298828,0.07919621467590332,0.0733175277709961
7,exported_ORDERS1.sql,104857600,None,3,1711135902.1539989,0,67.0297360420227,0,0,2.384185791015625e-07,0,0,0,0,0,1914252494.0,638084165.0,638084164.6666666,1914252494.0,638084165.0,638084164.6666666,0.0,0.0,0.0,85.89592027664185,45.875272274017334,28.631973425547283,0.21807312965393066,0.07616662979125977,0.07269104321797688
8,exported_ORDERS1.sql,104857600,None,3,1711135902.1539989,0,65.67100787162781,0,0,2.384185791015625e-07,0,0,0,0,0,1914252494.0,638084165.0,638084164.6666666,1914252494.0,638084165.0,638084164.6666666,0.0,0.0,0.0,75.78412318229675,47.519397020339966,25.26137439409892,0.21370911598205566,0.07397913932800293,0.07123637199401855
9,exported_ORDERS1.sql,104857600,None,3,1711135902.1539989,0,37.93539571762085,0,0,0.0,0,0,0,0,0,1914252494.0,638084165.0,638084164.6666666,1914252494.0,638084165.0,638084164.6666666,0.0,0.0,0.0,54.70642971992493,19.78572678565979,18.235476573308308,0.20955371856689453,0.0736079216003418,0.06985123952229817
10,exported_ORDERS1.sql,104857600,None,3,1711135902.1539989,0,33.64943337440491,0,0,2.384185791015625e-07,0,0,0,0,0,1914252494.0,638084165.0,638084164.6666666,1914252494.0,638084165.0,638084164.6666666,0.0,0.0,0.0,58.65075159072876,20.202139854431152,19.55025053024292,0.2637615203857422,0.10255742073059082,0.08792050679524739
11,exported_ORDERS1.sql,104857600,None,3,1711135902.1539989,0,31.958532333374023,0,0,0.0,0,0,0,0,0,1914252494.0,638084165.0,638084164.6666666,1914252494.0,638084165.0,638084164.6666666,0.0,0.0,0.0,56.836894273757935,19.156649351119995,18.94563142458598,0.21738553047180176,0.07679891586303711,0.07246184349060059
12,exported_ORDERS1.sql,104857600,None,3,1711135902.1539989,0,34.59920120239258,0,0,2.384185791015625e-07,0,0,0,0,0,1914252494.0,638084165.0,638084164.6666666,1914252494.0,638084165.0,638084164.6666666,0.0,0.0,0.0,64.63212394714355,22.359606504440308,21.54404131571452,0.22249245643615723,0.07904648780822754,0.07416415214538574
13,exported_ORDERS1.sql,104857600,None,3,1711135902.1539989,0,41.185662508010864,0,0,0.0,0,0,0,0,0,1914252494.0,638084165.0,638084164.6666666,1914252494.0,638084165.0,638084164.6666666,0.0,0.0,0.0,62.39715933799744,27.930352926254272,20.799053112665813,0.24031996726989746,0.10059833526611328,0.08010665575663249
14,exported_ORDERS1.sql,104857600,None,3,1711135902.1539989,0,33.7050256729126,0,0,0.0,0,0,0,0,0,1914252494.0,638084165.0,638084164.6666666,1914252494.0,638084165.0,638084164.6666666,0.0,0.0,0.0,60.34374976158142,20.294711112976074,20.114583253860474,0.21976709365844727,0.07602429389953613,0.0732556978861491
