,Decision Tree,Random Forest,Gradient Boosting,XGBoost
num__Data size sum (MB),0.10341717691001641,0.20549256522010217,0.24761354128247579,0.47945788502693176
num__Number of rows sum,0.004072941020897783,0.2265221782466391,0.24278107313277747,0.07543142139911652
num__Number of columns sum,0.5805204440428787,0.25541940851983747,0.18619649896168497,0.07530359923839569
num__maxStreams,0.28277299048956106,0.27831200017869684,0.28095144317974935,0.22978675365447998
num__RAM (GB),0.0,0.0,0.0,0.0
num__CPU,0.0,0.0,0.0,0.0
num__Disk (GB),0.0,0.0,0.0,0.0
num__External Disk (GB),0.0,0.0,0.0,0.0
cat__compress_GZIP,0.0059166856489435305,0.006533787434325232,0.009486361916828993,0.03437809646129608
cat__compress_LZ4,0.002635046367989662,0.011524137708486459,0.013309977451842495,0.06773011386394501
cat__compress_NO,0.020664715519712742,0.016195922691912883,0.01966110407464107,0.03791201859712601
cat__binary_False,0.0,0.0,0.0,0.0
