,Mean Absolute Error (MAE),Mean Squared Error (MSE),Root Mean Squared Error (RMSE),R² Score
Decision Tree (Random Search),876.4239460884788,3379477.4061680846,1838.3354988053961,0.794393787286634
Decision Tree (Grid Search),879.1466459955699,3385455.3281106744,1839.960686566611,0.7940300926253623
Random Forest (Default),871.456867792295,3186668.1915799775,1785.1241389830504,0.8061242318563611
Random Forest (Random Search),876.2092060179385,3326877.3359668246,1823.9729537377534,0.797593956994175
Random Forest (Grid Search),999.0848238980215,3395724.748214849,1842.7492363897072,0.793405304730486
Gradient Boosting (Default),917.9932359926229,3517650.433884626,1875.5400379316422,0.7859873890440876
Gradient Boosting (Random Search),891.2022733111975,3456492.2285529994,1859.164389867932,0.7897082326726415
Gradient Boosting (Grid Search),887.6298020828085,3435418.5605999795,1853.4882143137515,0.7909903471936295
XGBoost,879.1460018246262,3385456.7153895567,1839.9610635525842,0.7940300082238047
XGBoost (Default),879.1460018246262,3385456.7153895567,1839.9610635525842,0.7940300082238047
XGBoost (Random Search),873.1140314826259,3191212.5827473244,1786.396535696183,0.8058477527015364
XGBoost (Grid Search),875.4039301783951,3197749.308279706,1788.2251838847662,0.8054500606270734
